"","is.highlightTrue","X.2","grp1","grp2","artist.display.bio_1","artist.nationalityAmerican_1","artist.nationalityFrench_1","artist.nationality_1","artist.roleArtist_1","artist.role_1","city_1","classificationDrawings_1","classificationPaintings_1","classificationPhotographs_1","classificationPrints_1","classification_1","countryEgypt_1","country_1","culture_1","departmentAsianArt_1","departmentCostumeInstitute_1","departmentDrawingsandPrints_1","departmentEgyptianArt_1","departmentEuropeanSculptureandDecorativeArts_1","departmentGreekandRomanArt_1","departmentPhotographs_1","dimensions_1","geography.typeFrom_1","geography.typeMadein_1","geography.type_1","grp3","mediumOiloncanvas_1","object.begin.date","object.end.date","object.namePainting_1","object.namePhotograph_1","object.namePrint_1","region_1","object.id"
"2756",1,-1.50404520860547,-1.51151231278363,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1.55533625585182,-1.70097166177763,0,0,0,1,39901
"2757",1,-1.0745841735066,-0.281081506199892,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.197474832582592,0.403970267875549,0,0,0,0,310325
"2758",0,1.66241478770918,1.6211001035604,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,-0.115527147494981,-0.142123157270322,0,0,0,1,728389
"2759",0,1.11836870419998,-0.316015459127817,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0.646409101150997,0.703825203137463,0,0,0,1,292047
"2760",0,1.70806248992142,0.0804059335722446,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.238612235678502,0.364254382410394,0,0,0,1,365866
"2761",1,-0.228704303940937,0.960800390007158,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.598117367081886,0.650208757759505,0,0,0,0,544320
"2762",0,1.01216792762456,0.0402458241225226,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.533728388323071,0.578720163922227,0,0,0,1,360375
"2763",0,0.36844216785597,0.329341318000134,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.469339409564256,0.50723157008495,0,0,1,1,399169
"2764",0,1.72948896238839,-0.795846309915763,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.161703177716584,0.362268588137137,0,0,0,1,215044
"2765",1,-1.69874663232708,-1.7200475716845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.353081531249729,0.403970267875549,0,0,0,1,7595
"2766",0,0.00512372167688454,1.46273594726878,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.624946108231392,0.679995671858371,0,0,1,1,688366
"2767",0,1.6409883152422,1.16444241791281,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.537305553809672,0.582691752468743,0,0,0,1,622959
"2768",0,1.10066857477074,1.18625291113044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0168279755092501,0.00482561895074872,0,0,0,1,627417
"2769",0,1.3605810016527,-1.52505386501566,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.322675624613622,0.384112325142972,1,0,0,1,37991
"2770",0,0.461600743799326,1.05938505814352,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,4.00715607581248,2.66777573938934,0,0,0,1,558246
"2771",1,-0.031208122941024,1.60993548473902,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.465762244077655,0.503259981538434,0,0,0,1,726669
"2772",1,-1.31493329944046,-0.844523118882488,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.460396495847754,0.497302598718661,0,0,0,1,207797
"2773",0,0.700086698214315,-0.833815304853383,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.27259530780121,0.308652142759179,0,0,0,1,209352
"2774",0,0.886403850101026,0.242347103661002,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.429990589211647,0.560848015462908,0,0,0,1,387491
"2775",0,0.209141002992833,-0.865536139327166,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.161703177716584,0.362268588137137,0,0,0,1,204740
"2776",0,1.37548637380364,1.4593524948243,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.624946108231392,0.679995671858371,0,0,1,1,687781
"2777",1,-0.645123138407735,0.724492948226752,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.206744867403302,-0.243398665206465,1,0,0,1,459038
"2778",0,0.279009934950349,-0.701357400001668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.106584233778479,-0.132194185904033,0,0,0,1,229156
"2779",0,0.0787189966721352,-1.7514277381776,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.184954753379489,0.249078314561447,0,0,0,1,3290
"2780",1,-0.429926827978585,0.854171312054281,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.671449259557203,0.731626322963071,1,0,0,1,485416
"2781",0,0.922735694718934,1.29123284635866,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.483648071510659,0.540990072730331,0,1,0,1,647249
"2782",1,-1.14724786274242,-0.487572757216682,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.567711460445779,0.616450255114124,0,1,0,1,267042
"2783",0,1.61956184277523,0.511002518697807,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.490802402483861,0.548933249823362,0,0,1,1,422847
"2784",0,1.56552986872809,-0.68550085399183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.31552129364042,0.346382233951075,0,0,0,1,231928
"2785",1,-0.544511876388912,0.76304262722235,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.79518858994914,-0.876867038375675,0,0,0,1,465991
